Sample ID,FDL_L,FMSB_L,FDB_L,FDL_R,FMSB_R,FDB_R,TDL_L,TPB_L,TMSB_L,TDB_L,TDL_R,TPB_R,TMSB_R,TDB_R,FBDL_L,FBDL_R,HDL_L,HPB_L,HMSB_L,HDB_L,HDL_R,HPB_R,HMSB_R,HDB_R,RDL_L,RPB_L,RMSB_L,RDB_L,RDL_R,RPB_R,RMSB_R,RDB_R,UDL_L,UMSB_L,UDL_R,UMSB_R,Wt (kg),Age
34,NA,NA,69.39,NA,NA,67.46,335.1,59.01,21.52,43.85,336.07,57.76,22.18,41.35,319.05,321.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,10.02
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.55,NA,NA,NA,NA,323.81,32.37,20.35,40.93,NA,NA,NA,NA,358.81,19.56,NA,NA,23,8.53
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.55,NA,NA,NA,NA,323.81,32.37,20.35,40.93,NA,NA,NA,NA,358.81,19.56,NA,NA,23,8.53
37,361.96,18.53,63.06,359.33,18.36,63.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,9.68
38,NA,NA,71.64,NA,NA,71.08,317.12,61.17,27.47,44.92,316.97,63.17,27.28,45.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.72
39,NA,NA,53.11,NA,NA,51.16,188.59,43.72,16.18,31.32,185.92,44.89,15.58,30.34,185,183.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,4.71
40,390.22,23.86,68.44,391.04,23.72,70.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.84,38.82,17.25,47.6,NA,NA,NA,NA,206.03,13.95,13.13,25.2,NA,NA,232.22,13.21,47.6,14.59
41,390.22,23.86,68.44,391.04,23.72,70.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.84,38.82,17.25,47.6,NA,NA,NA,NA,206.03,13.95,13.13,25.2,NA,NA,232.22,13.21,47.6,14.59
42,358.72,21.43,68.69,368.02,20.2,70.96,299.13,57.1,19.54,35.85,316.14,60.15,23.26,43.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.49
43,426.08,25.02,73.74,422.08,25.41,72.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.4,16.19
44,102.25,10.77,30.21,101.49,10.26,30.77,89.89,23.06,9.59,17.27,89.86,23.75,8.85,16.7,84.99,85.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,0.37
45,355.3,26.46,68.62,352.63,21.09,61.39,291.03,58.13,20.9,35.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,13.54
46,439.87,27.86,82.71,435.44,25.12,76.11,382.68,75.39,32.06,53.09,369.29,67.55,22.6,48.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.03
47,131.85,10.65,36.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,1.55
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.79,25.22,13.92,33.71,NA,NA,NA,NA,116.75,10.34,9.16,18.54,NA,NA,128.33,8.97,12.5,2.55
49,NA,NA,54.82,NA,NA,54.89,213.18,47.24,14.8,34.68,207.73,43.46,14.71,32.36,206.2,204.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,6.17
50,NA,NA,56.2,NA,NA,56.42,232.57,50.34,13.98,29.82,250.84,50.44,17.7,35.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,8.9
51,225,14.08,52.31,NA,NA,NA,185.29,44.06,14.72,27.94,196.07,42.88,14.75,26.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,6.07
52,NA,NA,63.81,NA,NA,64.01,288.01,54.93,24.45,41.66,285.5,56.84,20.15,42.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,8.92
